Mã bản tin,Tên xe,Giá tiền,Ngày đăng tin,Năm sản xuất,Nhiên liệu,Kiểu dáng,Tình trạng,Số km đã đi,Hộp số,Xuất xứ,Địa điểm,URL,Giá tiền (triệu),Số km đã đi (km)
23369983,Mazda 3 1.6 AT 2018,399 triệu,25/09/2025,2018,Máy xăng,Sedan,Xe cũ,11.000 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/15-at-2018-99-trieu-aidxc23369983,399,11000
23333447,Mazda 3 Sedan 1.5L Premium 2022,610 triệu,17/06/2025,2022,Máy xăng,Sedan,Xe cũ,50.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/15-sx-2022-premium-aidxc23333447,610,50000
23367960,Mazda 3 1.6 AT 2019,448 triệu,19/09/2025,2019,Máy xăng,Sedan,Xe cũ,56.000 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/15at-2019-56000km-aidxc23367960,448,56000
23308555,Mazda 3 1.5L Sedan 2018,439 triệu,8/4/2025,2018,Máy xăng,Sedan,Xe cũ,82.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/15l-2018-aidxc23308555,439,82000
23366567,Mazda 3 Sedan 1.5L Luxury 2019,455 triệu,16/09/2025,2019,Máy xăng,Sedan,Xe cũ,61.289 km,Số tự động,Nhập khẩu,Hoàng Mai - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/15l-luxury-2019-455-trieu-aidxc23366567,455,61289
23364038,Mazda 3 Sedan 1.5L Luxury 2019,459 triệu,11/9/2025,2019,Máy xăng,Sedan,Xe cũ,79.998 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/15l-luxury-2019-459-trieu-aidxc23364038,459,79998
23326856,Mazda 3 Sedan 1.5L Luxury 2023,585 triệu,26/05/2025,2023,Máy xăng,Sedan,Xe cũ,21.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/15l-luxury-202-aidxc23326856,585,21000
23334735,Mazda 3 1.5L Sedan 2017,395 triệu,22/06/2025,2017,Máy xăng,Sedan,Xe cũ,100.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/15l-sedan-2017-aidxc23334735,395,100000
23335579,Mazda 3 1.5L Sedan 2017,400 triệu,25/06/2025,2017,Máy xăng,Sedan,Xe cũ,86.000 km,Số tự động,Trong nước,Thanh Trì - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/15l-sedan-2017-aidxc23335579,400,86000
23353137,Mazda 3 1.5L Sedan 2019,430 triệu,11/8/2025,2019,Máy xăng,Sedan,Xe cũ,20.000 km,Số tự động,Trong nước,Thanh Trì - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/15l-sedan-2019-aidxc23353137,430,20000
23359504,Mazda 3 1.5L Sedan 2019,430 triệu,28/08/2025,2019,Máy xăng,Sedan,Xe cũ,19.600 km,Số tự động,Trong nước,Thanh Trì - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/15l-sedan-2019-chinh-chu-1-chu-di-tu-dau-di-moi-19662-km-aidxc23359504,430,19600
23325110,Mazda 3 1.5L Sedan 2020,495 triệu,21/05/2025,2020,Máy xăng,Sedan,Xe cũ,60.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/15l-sedan-2020-aidxc23325110,495,60000
23338805,Mazda 3 1.5L Sedan 2022,555 triệu,8/7/2025,2022,Máy xăng,Sedan,Xe cũ,50.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/15l-sedan-2022-aidxc23338805,555,50000
23375528,Mazda 3 1.6 AT 2012,250 triệu,10/10/2025,2012,Máy xăng,Hatchback,Xe cũ,140.000 km,Số tự động,Nhập khẩu,Đống Đa - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2012-16-at-140000-km-aidxc23375528,250,140000
23364544,Mazda 3 2.0L Sedan 2014,295 triệu,11/9/2025,2014,Máy xăng,Sedan,Xe cũ,84.536 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2014-20-at-sedan-8456-km-aidxc23364544,295,84536
23371162,Mazda 3 2.0L Sedan 2015,368 triệu,28/09/2025,2015,Máy xăng,Sedan,Xe cũ,10 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2015-20-at-10-km-aidxc23371162,368,10
23368381,Mazda 3 1.5L Sedan 2015,345 triệu,20/09/2025,2015,Máy xăng,Sedan,Xe cũ,88.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2015-aidxc23368381,345,88000
23374490,Mazda 3 1.6 AT 2016,368 triệu,8/10/2025,2016,Máy xăng,Sedan,Xe cũ,89.000 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2016-15-at-sedan-89000-km-aidxc23374490,368,89000
23371248,Mazda 3 2016,350 triệu,28/09/2025,2016,Máy xăng,Sedan,Xe cũ,83.000 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2016-8000-km-aidxc23371248,350,83000
23364832,Mazda 3 2016,385 triệu,12/9/2025,2016,Máy xăng,Hatchback,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2016-so-tu-dong-aidxc23364832,385,82159.70347
23375130,Mazda 3 1.6 AT 2017,355 triệu,9/10/2025,2017,Máy xăng,Sedan,Xe cũ,110.000 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2017-15-at-sedan-110000-km-aidxc23375130,355,110000
23372633,Mazda 3 2017,375 triệu,3/10/2025,2017,Máy xăng,Sedan,Xe cũ,16.000 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2017-15-at-sedan-16000-km-aidxc23372633,375,16000
23368780,Mazda 3 1.6 AT 2017,400 triệu,22/09/2025,2017,Máy xăng,Sedan,Xe cũ,94.000 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2017-15-at-sedan-94000-km-aidxc23368780,400,94000
23368568,Mazda 3 2017,379 triệu,21/09/2025,2017,Máy xăng,Sedan,Xe cũ,99.000 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2017-15-at-sedan-flip-phanh-dien-tu-aidxc23368568,379,99000
23365147,Mazda 3 1.6 AT 2017,363 triệu,13/09/2025,2017,Máy xăng,Sedan,Xe cũ,85.000 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2017-15-at-sedan-tu-nhan-dep-long-lanh-aidxc23365147,363,85000
23365971,Mazda 3 1.5L Sedan 2017,400 triệu,15/09/2025,2017,Máy xăng,Sedan,Xe cũ,80.000 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2017-15-facelip-aidxc23365971,400,80000
23368382,Mazda 3 2017,385 triệu,20/09/2025,2017,Máy xăng,SUV,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2017-aidxc23368382,385,82159.70347
23365379,Mazda 3 1.5 Hatchback 2017,375 triệu,13/09/2025,2017,Máy xăng,Hatchback,Xe cũ,120.000 km,Số tự động,Trong nước,Tây Hồ - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2017-fl-hatchback-aidxc23365379,375,120000
23366394,Mazda 3 1.6 AT 2018,415 triệu,16/09/2025,2018,Máy xăng,Sedan,Xe cũ,75.000 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2018-15-at-sedan-75000-km-aidxc23366394,415,75000
23366655,Mazda 3 1.5L Sedan 2018,415 triệu,16/09/2025,2018,Máy xăng,Sedan,Xe cũ,53.000 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2018-5000-km-aidxc23366655,415,53000
23365970,Mazda 3 1.5L Sedan 2018,418 triệu,15/09/2025,2018,Máy xăng,Sedan,Xe cũ,57.000 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2018-57000-km-aidxc23365970,418,57000
23373134,Mazda 3 2018,430 triệu,4/10/2025,2018,Máy xăng,SUV,Xe cũ,47.000 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2018-tai-aidxc23373134,430,47000
23365446,Mazda 3 1.6 AT 2019,438 triệu,13/09/2025,2019,Máy xăng,Sedan,Xe cũ,90.000 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2019-15at-aidxc23365446,438,90000
23365914,Mazda 3 Sedan 1.5L Luxury 2019,450 triệu,15/09/2025,2019,Máy xăng,Sedan,Xe cũ,41.000 km,Số tự động,Nhập khẩu,Thanh Xuân - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2019-15l-luxury-41000-km-aidxc23365914,450,41000
23368147,Mazda 3 Sedan 1.5L Premium 2019,470 triệu,20/09/2025,2019,Máy xăng,Sedan,Xe cũ,45.000 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2019-15l-premium-aidxc23368147,470,45000
23371229,Mazda 3 2019,425 triệu,28/09/2025,2019,Máy xăng,Sedan,Xe cũ,80.000 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2019-15l-sport-luxury-80000-km-aidxc23371229,425,80000
23375184,Mazda 3 Sedan 2.0L Signature Premium 2019,480 triệu,9/10/2025,2019,Máy xăng,Sedan,Xe cũ,130.000 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2019-20l-premium-10000-km-aidxc23375184,480,130000
23364348,Mazda 3 1.6 AT 2019,499 triệu,11/9/2025,2019,Máy xăng,Sedan,Xe cũ,40.000 km,Số tự động,Trong nước,Long Biên - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2019-40000-km-aidxc23364348,499,40000
23331307,Mazda 3 1.5L Sedan 2019,475 triệu,11/6/2025,2019,Máy xăng,Sedan,Xe cũ,90.000 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/2019-aidxc23331307,475,90000
