Tên xe,Giá tiền,Ngày đăng bài,Năm sản xuất,Nhiên liệu,Kiểu dáng,Tình trạng,Số km đã đi,Hộp số,Xuất xứ,Địa điểm,URL
Mercedes-Benz C300 AMG 2021,720.000.000 VND,17/09/2025,20,Xăng,Sedan,Xe cũ,37.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-mercedes-benz-c300-hcm/mercedes-amg-2021-model-2022-37000-km-aidxc23366791
Hyundai Elantra 1.6 AT Đặc biệt 2022,475.000.000 VND,19/09/2025,20,Xăng,Sedan,Xe cũ,65.000 km,Số tự động,Trong nước,Hóc Môn - Tp.HCM,https://oto.com.vn/mua-ban-xe-hyundai-elantra-hcm/xe-con-moi-aidxc23367834
Chevrolet Spark 1.2 mt 2013,110.000.000 VND,18/09/2025,20,Xăng,Hatchback,Xe cũ,100.000 km,Số sàn,Trong nước,Đắk Lắk,https://oto.com.vn/mua-ban-xe-chevrolet-spark-dak-lak/2013-lt-12-mt-100000-km-aidxc23367588
Hyundai Santa Fe 2.2 Dầu Cao cấp 2021,760.000.000 VND,17/09/2025,20,Dầu,SUV,Xe cũ,76.000 km,Số tự động,Trong nước,Tp.HCM,https://oto.com.vn/mua-ban-xe-hyundai-santa-fe-hcm/chinh-chu-santafe-22-dau-cao-cap-bstp-aidxc23366961
Ford Ranger Wildtrak 3.2 4x4 AT 2017,550.000.000 VND,11/9/2025,20,Dầu,Bán tải,Xe cũ,120.000 km,Số tự động,Nhập khẩu,Hà Đông - Hà Nội,https://oto.com.vn/mua-ban-xe-ford-ranger-ha-noi/xe-dep-ban-2-cau-gia-tot-thuong-luong-aidxc23364291
Ford Everest Titanium 2.0L AT 4WD 2023,740.000.000 VND,5/9/2025,20,Dầu,SUV,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Tân Phú - Tp.HCM,https://oto.com.vn/mua-ban-xe-ford-everest-hcm/do-cam-hiembao-duong-chinh-hang-aidxc23350966
Ford Ranger Wildtrak 2.0L 4x4 AT 2019,550.000.000 VND,21/09/2025,20,Dầu,Bán tải,Xe cũ,183.000 km,Số tự động,Nhập khẩu,Long An,https://oto.com.vn/mua-ban-xe-ford-ranger-long-an/2019-wlidtrack-20-4x4-at-aidxc23368641
Suzuki Swift 2019,286.100.000 VND,18/09/2025,20,Xăng,Hatchback,Xe cũ,68.978 km,Số tự động,Nhập khẩu,Thanh Khê - Đà Nẵng,https://oto.com.vn/mua-ban-xe-suzuki-swift-da-nang/2019-68978-km-aidxc23367629
Toyota Innova 2.0E 2019,725.000.000 VND,22/09/2025,20,Xăng,MPV,Xe cũ,61.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-toyota-innova-hcm/2019-20e-61000-km-aidxc23368972
Mercedes-Benz GLC 200 2019,1.379.000.000.000 VND,11/9/2025,20,Xăng,SUV,Xe cũ,74.000 km,Số tự động,Trong nước,Bình Tân - Tp.HCM,https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-200-hcm/xe-dep-noi-that-nau-ho-tro-ngan-hang-aidxc23364207
Mercedes-Benz GLC 300 4Matic 2019,2.379.000.000.000 VND,9/9/2025,20,Xăng,SUV,Xe cũ,71.000 km,Số tự động,Trong nước,Bình Tân - Tp.HCM,https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-300-hcm/xe-da-qua-su-dung-chat-luong-cao-bao-test-moi-hinh-thuc-aidxc23363300
Mercedes-Benz E200 E200 2019,1.049.000.000.000 VND,25/09/2025,20,Xăng,Sedan,Xe cũ,66.000 km,Số tự động,Trong nước,Bình Tân - Tp.HCM,https://oto.com.vn/mua-ban-xe-mercedes-benz-e200-hcm/doden-aidxc23358339
Mercedes-Benz C200 2.0 AT 2016,599.000.000 VND,22/09/2025,20,Xăng,Sedan,Xe cũ,69.000 km,Số tự động,Trong nước,Bình Tân - Tp.HCM,https://oto.com.vn/mua-ban-xe-mercedes-benz-c200-hcm/xe-da-qua-su-dung-chat-luong-dam-bao-aidxc23357031
Mercedes-Benz C200 2.0 AT 2016,579.000.000 VND,13/09/2025,20,Xăng,Sedan,Xe cũ,106.000 km,Số tự động,Trong nước,Bình Tân - Tp.HCM,https://oto.com.vn/mua-ban-xe-mercedes-benz-c200-hcm/trangkem-sx2016-aidxc23341446
Mercedes-Benz GLC 200 V1 2022,987.000.000 VND,19/09/2025,20,Xăng,SUV,Xe cũ,28.000 km,Số tự động,Trong nước,Bình Tân - Tp.HCM,https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-200-hcm/xe-san-xuat-2022-chat-luong-nhu-moi-aidxc23334659
Mercedes-Benz GLC 200 V1 2022,987.000.000 VND,19/09/2025,20,Xăng,SUV,Xe cũ,39.000 km,Số tự động,Trong nước,Bình Tân - Tp.HCM,https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-200-hcm/xe-da-qua-su-dung-odo-thap-chat-luong-dam-bao-aidxc23334546
Mercedes-Benz GLC 300 4Matic 2023,1.087.000.000.000 VND,28/08/2025,20,Xăng,SUV,Xe cũ,13.333 km,Số tự động,Trong nước,Bình Tân - Tp.HCM,https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-300-hcm/xe-san-xuat-2023-chat-luong-nhu-moi-aidxc23328540
Hyundai Accent 1.4 AT Đặc biệt 2019,420.000.000 VND,21/09/2025,20,Xăng,Sedan,Xe cũ,90.000 km,Số tự động,Trong nước,Thừa Thiên Huế,https://oto.com.vn/mua-ban-xe-hyundai-accent-thua-thien-hue/2019-14-at-ban-dac-biet-90000-km-aidxc23368481
Mitsubishi Xpander 2020,495.000.000 VND,22/09/2025,20,Xăng,MPV,Xe cũ,157.000 km,Số sàn,Nhập khẩu,Quảng Ngãi,https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-quang-ngai/xe-cu-2020-xe-gia-dinh-sai-aidxc23368829
