Tên xe,Giá tiền,Ngày đăng bài,Năm sản xuất,Nhiên liệu,Kiểu dáng,Tình trạng,Số km đã đi,Hộp số,Xuất xứ,Địa điểm,URL
Toyota Yaris 1.5G 2016,350.000.000 VND,25/09/2025,20,Xăng,Hatchback,Xe cũ,67.000 km,Số tự động,Nhập khẩu,Tây Hồ - Hà Nội,https://oto.com.vn/mua-ban-xe-toyota-yaris-ha-noi/sieu-chat-gia-tot-aidxc23358335
Hyundai Elantra 2014,505.000.000 VND,25/09/2025,20,Xăng,Sedan,Xe cũ,80.000 km,Số tự động,Nhập khẩu,An Lão - Hải Phòng,https://oto.com.vn/mua-ban-xe-hyundai-elantra-hai-phong/nhap-cu-hai-duong-aidxc23326667
Ford Ranger Wildtrak 2.0L 4x4 AT 2021,545.000.000 VND,19/09/2025,20,Dầu,Bán tải,Xe cũ,60.000 km,Số tự động,Nhập khẩu,Tân Phú - Tp.HCM,https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/wildtrak-2021-nhap-thai-bi-turbo1-chu-di-rat-it-aidxc23367869
Hyundai Santa Fe 2.2 Dầu Đặc biệt 2022,760.000.000 VND,14/09/2025,20,Dầu,SUV,Xe cũ,58.000 km,Số tự động,Trong nước,Đoan Hùng - Phú Thọ,https://oto.com.vn/mua-ban-xe-hyundai-santa-fe-phu-tho/suv-7-cho-cuc-dep-may-dau-trang-bi-full-options-cao-cap-nhat-aidxc23320974
Ford Ranger XLS 2.2 4x2 AT 2022,545.000.000 VND,31/08/2025,20,Dầu,Bán tải,Xe cũ,40.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM,https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/2022-so-tu-dongxe-gia-dinh-di-rat-it-aidxc23360817
Hyundai Accent 1.4 MT Tiêu chuẩn 2021,405.000.000 VND,3/9/2025,20,Xăng,Sedan,Xe cũ,96.000 km,Số sàn,Trong nước,Thường Tín - Hà Nội,https://oto.com.vn/mua-ban-xe-hyundai-accent-ha-noi/xe-dep-day-du-do-choi-aidxc23299086
Lexus ES 250 2022,1.980.000.000.000 VND,24/09/2025,20,Xăng,Sedan,Xe cũ,46.004 km,Số tự động,Nhập khẩu,Long Biên - Hà Nội,https://oto.com.vn/mua-ban-xe-lexus-es-250-ha-noi/mau-xanh-noi-that-bo-gia-19-ty-dong-aidxc23369762
Mercedes-Benz GLC 300 4Matic 2023,1.087.000.000.000 VND,24/09/2025,20,Xăng,N/A,Xe cũ,28.000 km,Số tự động,Trong nước,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-300-hcm/bao-dau-bank-70-90-ib-zalo-tu-van-truc-tiep-247-aidxc23369633
Porsche Panamera 4 Executive 2023,6.478.000.000.000 VND,15/09/2025,20,Xăng,N/A,Xe cũ,13.000 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-porsche-panamera-hcm/bao-dau-bank-70-90-ib-zalo-tu-van-truc-tiep-247-aidxc23365892
Ford EcoSport Titanium 1.5L AT 2015,350.000.000 VND,29/08/2025,20,Xăng,SUV,Xe cũ,120.000 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội,https://oto.com.vn/mua-ban-xe-ford-ecosport-ha-noi/ho-tro-tra-gop-toan-quoc-len-toi-70-thu-tuc-sang-ten-nhanh-gon-aidxc23342878
VinFast LUX A2.0 Cao cấp 2020,545.000.000 VND,29/08/2025,20,Xăng,N/A,Xe cũ,76.000 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội,https://oto.com.vn/mua-ban-xe-vinfast-lux-a20-ha-noi/xe-1-chu-tu-dau-gia-tot-sang-ten-ngay-co-thuong-luong-aidxc23317686
Lexus GX 470 2007,768.000.000 VND,29/08/2025,20,Xăng,N/A,Xe cũ,162.000 km,Số tự động,Nhập khẩu,Thanh Xuân - Hà Nội,https://oto.com.vn/mua-ban-xe-lexus-gx-470-ha-noi/xe-nhap-nhat-sieu-luot-dep-1-chu-tu-dau-gia-tot-aidxc23304519
Toyota Corolla Altis 2.0V Sport 2017,520.000.000 VND,19/09/2025,20,Xăng,Sedan,Xe cũ,80.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-ha-noi/fom-moi-2018-dep-xuat-sac-aidxc23354906
Mercedes-Benz GL 400 4Matic 2015,969.000.000 VND,25/09/2025,20,Xăng,SUV,Xe cũ,95.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-mercedes-benz-gl-400-ha-noi/sieu-dep-aidxc23370072
Toyota Corolla Cross 1.8 V 2021,660.000.000 VND,25/09/2025,20,Xăng,Crossover,Xe cũ,55.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-toyota-corolla-cross-ha-noi/sieu-dep-aidxc23370075
Kia Carnival 2.2D Signature 2023,1.990.000.000.000 VND,25/09/2025,20,Dầu,MPV,Xe cũ,60.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-kia-carnival-ha-noi/chat-xe-sieu-dep-aidxc23370082
Mercedes-Benz GLC 200 4Matic 2020,987.000.000 VND,26/09/2025,20,Xăng,SUV,Xe cũ,60.000 km,Số tự động,Nhập khẩu,Hoàng Mai - Hà Nội,https://oto.com.vn/mua-ban-xe-mercedes-benz-glc-200-ha-noi/4matic-san-xuat-va-dang-ky-cuoi-nam-2020-xe-1-chu-tu-moii-aidxc23370437
Mazda 3 1.5L Sedan 2019,420.000.000 VND,12/9/2025,20,Xăng,Sedan,Xe cũ,65.689 km,Số tự động,Trong nước,Hoàng Mai - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/mot-chu-bien-rat-moi-aidxc23320567
VinFast LUX A2.0 Cao cấp 2019,545.000.000 VND,1/9/2025,20,Xăng,Sedan,Xe cũ,67.899 km,Số tự động,Trong nước,Hoàng Mai - Hà Nội,https://oto.com.vn/mua-ban-xe-vinfast-lux-a20-ha-noi/chay-68-van-lop-con-theo-xe-rat-moi-aidxc23304000
Ford Ranger XLS 2.2 4x2 MT 2022,545.000.000 VND,31/08/2025,20,Dầu,Bán tải,Xe cũ,40.000 km,Số sàn,Nhập khẩu,Tân Phú - Tp.HCM,https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/2022-so-san-xe-gia-dinh-moi-di-dc-40000km-thoi-aidxc23360812
Ford Ranger Wildtrak 2.2 4x2 AT 2014,545.000.000 VND,28/08/2025,20,Dầu,Bán tải,Xe cũ,140.000 km,Số tự động,Trong nước,Đồ Sơn - Hải Phòng,https://oto.com.vn/mua-ban-xe-ford-ranger-hai-phong/salon-xin-duoc-chao-ban-chiec-xe-aidxc23346636
Ford Ranger Raptor 2023,545.000.000 VND,31/08/2025,20,Xăng,Bán tải,Xe cũ,40.000 km,Số tự động,Nhập khẩu,Tân Phú - Tp.HCM,https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/raptor-2023-xe-ca-nhan-1-chuchay-it-aidxc23360814
Ford Everest Titanium 2.0 AT 4x2 2023,1.330.000.000.000 VND,16/09/2025,20,Dầu,SUV,Xe cũ,29.000 km,Số tự động,Nhập khẩu,Ngô Quyền - Hải Phòng,https://oto.com.vn/mua-ban-xe-ford-everest-hai-phong/salon-xin-duoc-chao-ban-chiec-xe-aidxc23366256
Kia Cerato 2.0 AT Premium 2020,500.000.000 VND,10/9/2025,20,Xăng,Sedan,Xe cũ,72.000 km,Số tự động,Trong nước,Thái Nguyên - Thái Nguyên,https://oto.com.vn/mua-ban-xe-kia-cerato-thai-nguyen/salon-xin-duoc-chao-ban-chiec-xe-aidxc23364006
Ford Territory Titanium X 2023,735.000.000 VND,16/09/2025,20,Xăng,SUV,Xe cũ,20.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM,https://oto.com.vn/mua-ban-xe-ford-territory-hcm/titanium-x-2023-xe-chay-luot1-chu-aidxc23366555
Ford Ranger XLS 2.2 4x2 AT 2015,545.000.000 VND,31/08/2025,20,Xăng,Bán tải,Xe cũ,80.000 km,Số tự động,Nhập khẩu,Tân Phú - Tp.HCM,https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/model-2016-so-tu-dongxe-chinh-hang-aidxc23360803
Hyundai Grand i10 Hatchback 1.2 AT 2022,340.000.000 VND,10/9/2025,20,Xăng,Hatchback,Xe cũ,48.000 km,Số tự động,Trong nước,Thái Nguyên - Thái Nguyên,https://oto.com.vn/mua-ban-xe-hyundai-grand-i10-thai-nguyen/salon-xin-duoc-chao-ban-chiec-xe-aidxc23364007
Ford Transit 9 Chỗ 2.4 Diesel 2018,465.000.000 VND,19/09/2025,20,Dầu,Van/Minivan,Xe cũ,130.000 km,Số sàn,Trong nước,Tân Phú - Tp.HCM,https://oto.com.vn/mua-ban-xe-ford-transit-hcm/van-6-cho-2018chay-bang-b2-khong-gio-cam-aidxc23367813
Kia Morning AT 2011,150.000.000 VND,25/09/2025,20,Xăng,Hatchback,Xe cũ,120.000 km,Số tự động,Nhập khẩu,An Lão - Hải Phòng,https://oto.com.vn/mua-ban-xe-kia-morning-hai-phong/odo-120000-km-aidxc23370263
Honda CR-V 1.5 L 2020,550.000.000 VND,25/09/2025,20,Xăng,SUV,Xe cũ,55.131 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội,https://oto.com.vn/mua-ban-xe-honda-cr-v-ha-noi/ban-xe-o-to-cu-uy-tin-tai-crv-l-2020-aidxc23346815
Porsche Macan 2021,1.550.000.000.000 VND,25/09/2025,20,Xăng,N/A,Xe cũ,28.000 km,Số tự động,Trong nước,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-porsche-macan-hcm/bao-dau-bank-70-90-ib-zalo-tu-van-truc-tiep-247-aidxc23370198
Kia Carnival Royal 2023,1.268.000.000.000 VND,25/09/2025,20,Xăng,MPV,Xe cũ,22.000 km,Số tự động,Trong nước,Bắc Từ Liêm - Hà Nội,https://oto.com.vn/mua-ban-xe-kia-carnival-ha-noi/chay-2v-km-zin-sieu-moi-aidxc23313412
Mercedes-Benz AMG G63 4.0 v8 2021,9.600.000.000.000 VND,25/09/2025,20,Xăng,SUV,Xe cũ,29.000 km,Số tự động,Trong nước,Bắc Từ Liêm - Hà Nội,https://oto.com.vn/mua-ban-xe-mercedes-benz-amg-g-63-ha-noi/amg-chay-it-mau-trang-cuc-hiem-aidxc23135269
BMW X7 xDrive40i Msport 2022,4.390.000.000.000 VND,25/09/2025,20,Xăng,SUV,Xe cũ,32.000 km,Số tự động,Nhập khẩu,Bắc Từ Liêm - Hà Nội,https://oto.com.vn/mua-ban-xe-bmw-x7-ha-noi/mau-den-chay-it-sieu-moi-aidxc23313187
Rolls-Royce Ghost Series II 2015,3.950.000.000.000 VND,25/09/2025,20,Xăng,Sedan,Xe cũ,18.000 km,Số tự động,Nhập khẩu,Bắc Từ Liêm - Hà Nội,https://oto.com.vn/mua-ban-xe-rolls-royce-ghost-ha-noi/ban-ewb-truc-co-so-dai-sieu-luot-aidxc23106275
Toyota Corolla Altis 2.0V 2014,520.000.000 VND,11/9/2025,20,Xăng,Sedan,Xe cũ,120.000 km,Số tự động,Trong nước,Khoái Châu - Hưng Yên,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-hung-yen/xe-tu-nhan-dep-tat-nang-may-so-keo-chi-zin-tuyet-doi-noi-ngoai-tha-aidxc23364554
Hyundai Grand i10 Sedan 1.2 MT 2018,340.000.000 VND,28/08/2025,20,Xăng,Sedan,Xe cũ,120.000 km,Số sàn,Trong nước,Khoái Châu - Hưng Yên,https://oto.com.vn/mua-ban-xe-hyundai-grand-i10-hung-yen/huyndai-sedan-12-mt-ban-du-doi-2018-xe-dai-chat-khong-loi-nho-may-so-keo-chi-than-vo-aidxc23359679
Kia Rondo 1.7 DAT 2015,345.000.000 VND,28/08/2025,20,Dầu,SUV,Xe cũ,130.000 km,Số tự động,Trong nước,Khoái Châu - Hưng Yên,https://oto.com.vn/mua-ban-xe-kia-rondo-hung-yen/so-tu-dong-7-cho-suv-xe-dai-chat-may-so-keo-chi-zin-het-do-choi-co-man-hinh-camer-aidxc23359599
Land Rover Range Rover Vogue SWB 3.0P 360PS 2018,11.899.000.000.000 VND,25/09/2025,20,Xăng,SUV,Xe cũ,37.000 km,Số tự động,Nhập khẩu,Bắc Từ Liêm - Hà Nội,https://oto.com.vn/mua-ban-xe-landrover-range-rover-ha-noi/mau-den-noi-that-nau-aidxc23259882
Lexus LM 350 2022,5.950.000.000.000 VND,25/09/2025,20,Xăng,MPV,Xe cũ,45.000 km,Số tự động,Nhập khẩu,Bắc Từ Liêm - Hà Nội,https://oto.com.vn/mua-ban-xe-lexus-lm-350-ha-noi/4-ghe-vip-sieu-moi-aidxc23310290
Mercedes-Benz C200 2015,579.000.000 VND,25/09/2025,20,Xăng,Sedan,Xe cũ,60.000 km,Số tự động,Trong nước,Thủ Đức - Tp.HCM,https://oto.com.vn/mua-ban-xe-mercedes-benz-c200-hcm/bao-hanh-6-thang-aidxc23301664
Mazda CX-5 2.0L Premium Sport 2024,565.000.000 VND,14/09/2025,20,Xăng,SUV,Xe cũ,17.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-cx-5-ha-noi/17000km-sieu-moi-gia-tot-aidxc23365648
Toyota Fortuner 2.7V 2017,725.000.000 VND,24/09/2025,20,Xăng,SUV,Xe cũ,1 km,Số tự động,Nhập khẩu,Thanh Xuân - Hà Nội,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-noi/27v-2017-ban-xe-o-to-cu-uy-tin-tai-aidxc23369662
Kia Forte SX 1.6 AT 2009,230.000.000 VND,24/09/2025,20,Xăng,Sedan,Xe cũ,200.000 km,Số tự động,Trong nước,An Lão - Hải Phòng,https://oto.com.vn/mua-ban-xe-kia-forte-hai-phong/xe-ban-cao-cap-nhat-1-chu-tu-dau-aidxc23369632
Ford Ranger XLS 2.2L 4x2 MT 2019,545.000.000 VND,29/08/2025,20,Dầu,Bán tải,Xe cũ,85.000 km,Số sàn,Trong nước,Tân Phú - Tp.HCM,https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/ban-tai-so-sancho-hang-sieu-ben-va-tiet-kiem-aidxc23359848
Ford Ranger Wildtrak 2.0L 4x4 AT 2020,545.000.000 VND,5/9/2025,20,Dầu,Bán tải,Xe cũ,58.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM,https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/xe-nhap-thai-ban-cao-cap-cua-bao-hanh-chinh-hang-aidxc23350960
Ford Territory 1.5L Titanium 2024,735.000.000 VND,5/9/2025,20,Xăng,SUV,Xe cũ,40.000 km,Số tự động,Trong nước,Tân Phú - Tp.HCM,https://oto.com.vn/mua-ban-xe-ford-territory-hcm/xe-luot-5-chobao-duong-chinh-hang-aidxc23362167
Hyundai Santa Fe 2.4L Xăng Cao cấp 2016,760.000.000 VND,10/9/2025,20,Xăng,SUV,Xe cũ,102.000 km,Số tự động,Trong nước,Chí Linh - Hải Dương,https://oto.com.vn/mua-ban-xe-hyundai-santa-fe-hai-duong/chiec-xe-7-cho-phu-hop-moi-gia-dinh-chu-giu-gin-aidxc23363869
Mitsubishi Outlander 2.4 CVT Premium 2018,610.000.000 VND,10/9/2025,20,Xăng,SUV,Xe cũ,106.000 km,Số tự động,Nhập khẩu,Kim Thành - Hải Dương,https://oto.com.vn/mua-ban-xe-mitsubishi-outlander-hai-duong/xe-dep-lien-he-thuong-luong-gia-tot-aidxc23363868
Mitsubishi Xpander AT Premium 2022,500.000.000 VND,10/9/2025,20,Xăng,SUV,Xe cũ,83.000 km,Số tự động,Trong nước,Chí Linh - Hải Dương,https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-hai-duong/xe-sieu-luot-7-cho-chu-di-giu-gin-aidxc23363871
Ford Tourneo Titanium 2019,595.000.000 VND,23/09/2025,20,Xăng,MPV,Xe cũ,30.000 km,Số tự động,Trong nước,Thủ Đức - Tp.HCM,https://oto.com.vn/mua-ban-xe-ford-tourneo-hcm/goi-options-thuong-gia-dang-cap-aidxc23369361
Kia Cerato 1.6 MT 2021,500.000.000 VND,23/09/2025,20,Xăng,Sedan,Xe cũ,50.000 km,Số sàn,Trong nước,Tân An - Long An,https://oto.com.vn/mua-ban-xe-kia-cerato-long-an/cam-ket-khong-dam-dung-ngap-nuoc-aidxc23354817
Toyota Fortuner 2022,725.000.000 VND,23/09/2025,20,Xăng,N/A,Xe cũ,56.000 km,Số tự động,Trong nước,Tân An - Long An,https://oto.com.vn/mua-ban-xe-toyota-fortuner-long-an/xe-sieu-luot-tai-hang-chu-giu-gin-aidxc23341349
Hyundai Tucson 1.6 Turbo HTRAC 2024,699.000.000 VND,23/09/2025,20,Xăng,SUV,Xe cũ,32.000 km,Số tự động,Trong nước,Tân An - Long An,https://oto.com.vn/mua-ban-xe-hyundai-tucson-long-an/cam-ket-khong-dam-dung-ngap-nuoc-aidxc23321262
Mazda 3 Sedan 1.5L Deluxe 2018,420.000.000 VND,15/09/2025,20,Xăng,Sedan,Xe cũ,76.000 km,Số tự động,Trong nước,Thuận An - Bình Dương,https://oto.com.vn/mua-ban-xe-mazda-3-binh-duong/xe-sieu-dep-aidxc23231648
Peugeot 5008 Allure 2018,835.000.000 VND,15/09/2025,20,Xăng,SUV,Xe cũ,49.219 km,Số tự động,Trong nước,Thuận An - Bình Dương,https://oto.com.vn/mua-ban-xe-peugeot-5008-binh-duong/bao-duong-5000-km-thay-nhot-mot-lan-mien-phi-aidxc23141432
Kia Sorento 2.4AT 2018,390.000.000 VND,15/09/2025,20,Xăng,MPV,Xe cũ,43.000 km,Số tự động,Trong nước,Thuận An - Bình Dương,https://oto.com.vn/mua-ban-xe-kia-sorento-binh-duong/gia-540-tr-aidxc23097549
Peugeot 3008 2018,830.000.000 VND,15/09/2025,20,Xăng,N/A,Xe cũ,90.000 km,Số tự động,Trong nước,Thuận An - Bình Dương,https://oto.com.vn/mua-ban-xe-peugeot-3008-binh-duong/xe-dep-nhu-moi-trang-bi-full-option-aidxc23018060
Hyundai Creta 1.5L Đặc biệt 2024,589.000.000 VND,23/09/2025,20,Xăng,SUV,Xe cũ,10.000 km,Số tự động,Trong nước,Hòa Bình - Hòa Bình,https://oto.com.vn/mua-ban-xe-hyundai-creta-hoa-binh/new-hang-moi-ve-aidxc23369258
Toyota Camry 2.5Q 2016,112.000.000 VND,9/9/2025,20,Xăng,Sedan,Xe cũ,118.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-toyota-camry-ha-noi/xe-dep-bien-sieu-luot-aidxc23338611
Toyota Fortuner 2.8 AT 4x4 Legender 2021,725.000.000 VND,12/9/2025,20,Dầu,SUV,Xe cũ,50.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-noi/cam-ket-khong-dam-dung-khong-ngap-nuoc-aidxc23364957
Toyota Fortuner 2.4 AT 4x2 Legender 2022,725.000.000 VND,12/9/2025,20,Dầu,SUV,Xe cũ,60.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-toyota-fortuner-ha-noi/xe-dep-chu-di-giu-gin-aidxc23364956
Ford Ranger Raptor 2022,545.000.000 VND,18/09/2025,20,Xăng,Bán tải,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Tân Phú - Tp.HCM,https://oto.com.vn/mua-ban-xe-ford-ranger-hcm/raptor-2022-luottrang-bi-full-optionho-tro-vay-70-aidxc23367564
Toyota Previa 2010,359.360.000.000 VND,22/09/2025,20,Xăng,Van/Minivan,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Quận 10 - Tp.HCM,https://oto.com.vn/mua-ban-xe-toyota-previa-hcm/ban-cao-nhat-fulloption-3-cua-dien-2-mam-duc-smartkey-nut-de-nem-zin-xe-nha-trum-men-rat-moi-aidxc23301851
Mazda 2 2018,385.000.000 VND,22/09/2025,20,Xăng,Hatchback,Xe cũ,30.000 km,Số tự động,Trong nước,Quận 10 - Tp.HCM,https://oto.com.vn/mua-ban-xe-mazda-2-hcm/xe-nha-trum-men-khong-chay-moi-nhu-0-luon-doi-nay-moi-khong-doi-thu-toan-bo-zin-theo-xe-aidxc23341430
Porsche Macan 2017,2.858.000.000.000 VND,22/09/2025,20,Xăng,SUV,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Quận 10 - Tp.HCM,https://oto.com.vn/mua-ban-xe-porsche-macan-hcm/1-chu-xe-nha-toan-trum-men-it-su-dung-con-rat-moi-bao-hiem-2c-ngay-chu-dung-ten-aidxc23356102
Peugeot 5008 Allure 2022,650.000.000 VND,22/09/2025,20,Xăng,SUV,Xe cũ,30.000 km,Số tự động,Nhập khẩu,Thủ Đức - Tp.HCM,https://oto.com.vn/mua-ban-xe-peugeot-5008-hcm/suv-7-cho-dong-co-16l-turbo-manh-me-aidxc23356788
Mitsubishi Xpander 1.5 MT 2019,500.000.000 VND,19/09/2025,20,Xăng,N/A,Xe cũ,90.000 km,Số sàn,Nhập khẩu,An Lão - Hải Phòng,https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-hai-phong/xe-dep-gia-dinh-di-giu-gin-aidxc23368101
Toyota Vios 1.5E MT 2018,350.000.000 VND,19/09/2025,20,Xăng,Sedan,Xe cũ,80.000 km,Số sàn,Trong nước,An Lão - Hải Phòng,https://oto.com.vn/mua-ban-xe-toyota-vios-hai-phong/xe-dep-hang-quoc-dan-aidxc23368103
Ford Everest Titanium 2.0 AT 4x2 2023,1.330.000.000.000 VND,19/09/2025,20,Dầu,SUV,Xe cũ,40.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-ford-everest-ha-noi/xe-tu-nhan-mot-chu-tu-dau-aidxc23368005
Kia Carnival 2.2D Signature 2023,1.268.000.000.000 VND,10/9/2025,20,Dầu,MPV,Xe cũ,40.000 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-kia-carnival-ha-noi/xe-moi-cung-bao-check-100-aidxc23363967
Audi Q7 2.0 TFSI 2014,1.099.000.000.000 VND,29/08/2025,20,Xăng,SUV,Xe cũ,120.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-q7-ha-noi/xe-mot-chu-tu-dau-dai-chat-aidxc23359879
Ford Everest Titanium 2.0L AT 4WD 2024,1.330.000.000.000 VND,21/09/2025,20,Dầu,SUV,Xe cũ,9.000 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-ford-everest-ha-noi/net-cang-aidxc23368671
Ford Everest Titanium 2.0 AT 4x2 2023,1.330.000.000.000 VND,21/09/2025,20,Dầu,SUV,Xe cũ,22.000 km,Số tự động,Nhập khẩu,Hoàng Mai - Hà Nội,https://oto.com.vn/mua-ban-xe-ford-everest-ha-noi/may-nguyen-ban-cua-nha-san-xuat-aidxc23368554
VinFast VF8 S 2024,850.000.000 VND,16/09/2025,20,Điện,SUV,Xe cũ,30 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội,https://oto.com.vn/mua-ban-xe-vinfast-vf8-s-ha-noi/xe-nhu-moi-thieu-dung-cai-hop-gia-mem-cho-anh-em-tiet-kiem-kinh-te-aidxc23366292
VinFast VF8 S 2024,855.000.000 VND,16/09/2025,20,Điện,SUV,Xe cũ,20 km,Số tự động,Trong nước,Bắc Ninh - Bắc Ninh,https://oto.com.vn/mua-ban-xe-vinfast-vf8-s-bac-ninh/duy-nhat-ho-tro-doi-xe-xang-sang-xe-dien-gia-tri-sieu-hap-dan-aidxc23366290
VinFast VF8 S 2024,855.000.000 VND,16/09/2025,20,Điện,SUV,Xe cũ,46 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội,https://oto.com.vn/mua-ban-xe-vinfast-vf8-s-ha-noi/son-zin-nguyen-xe-bao-hanh-chinh-hang-aidxc23366289
Hyundai Grand i10 Sedan 1.2 MT 2018,340.000.000 VND,16/09/2025,20,Xăng,Sedan,Xe cũ,81.000 km,Số sàn,Trong nước,Dĩ An - Bình Dương,https://oto.com.vn/mua-ban-xe-hyundai-grand-i10-binh-duong/xe-sedan-gia-re-chat-luong-dam-bao-aidxc23339742
Suzuki Ertiga Hybrid Ertiga AT 2022,365.000.000 VND,16/09/2025,20,Hybrid,MPV,Xe cũ,48.000 km,Số tự động,Trong nước,Dĩ An - Bình Dương,https://oto.com.vn/mua-ban-xe-suzuki-ertiga-binh-duong/xe-da-qua-su-dung-chat-luong-cao-aidxc23351246
Toyota Camry 2.5Q 2020,112.000.000 VND,16/09/2025,20,Xăng,Sedan,Xe cũ,69.000 km,Số tự động,Nhập khẩu,Dĩ An - Bình Dương,https://oto.com.vn/mua-ban-xe-toyota-camry-binh-duong/xe-luot-it-su-dung-gia-cuc-tot-aidxc23334995
Hyundai Elantra 1.6 AT Đặc biệt 2023,505.000.000 VND,16/09/2025,20,Xăng,Sedan,Xe cũ,39.000 km,Số tự động,Trong nước,Dĩ An - Bình Dương,https://oto.com.vn/mua-ban-xe-hyundai-elantra-binh-duong/xe-gia-dinh-tiet-kiem-nhien-lieu-aidxc23334987
Toyota Fortuner 2.4 MT 4x2 2015,725.000.000 VND,16/09/2025,20,Dầu,SUV,Xe cũ,130.000 km,Số sàn,Trong nước,Dĩ An - Bình Dương,https://oto.com.vn/mua-ban-xe-toyota-fortuner-binh-duong/xe-cu-gia-tot-ho-tro-thu-tuc-nhanh-aidxc23339759
Mercedes-Benz GLS 450 4Matic 2021,4.099.000.000.000 VND,20/09/2025,20,Xăng,SUV,Xe cũ,65.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-mercedes-benz-gls-450-ha-noi/gls450-2021-aidxc23368360
Lexus RX 300 2022,2.950.000.000.000 VND,9/9/2025,20,Xăng,SUV,Xe cũ,32.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-lexus-rx-300-ha-noi/rx300-2022-aidxc23363384
Mercedes-Benz E180 V1 2022,1.559.000.000.000 VND,29/08/2025,20,Xăng,Sedan,Xe cũ,6.789 km,Số tự động,Trong nước,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-mercedes-benz-e180-ha-noi/2022-v1-aidxc23359917
Mazda CX-8 Premium 2025,960.000.000 VND,4/9/2025,20,Xăng,SUV,Xe cũ,6.000 km,Số tự động,Trong nước,Long Biên - Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-cx-8-ha-noi/xe-con-bao-hanh-chinh-hang-den-het-2028-tiet-kiem-kha-kha-so-voi-mua-moi-aidxc23361569
Toyota Corolla Cross 1.8 HV 2021,660.000.000 VND,4/9/2025,20,Hybrid,Crossover,Xe cũ,60.000 km,Số tự động,Trong nước,Long Biên - Hà Nội,https://oto.com.vn/mua-ban-xe-toyota-corolla-cross-ha-noi/xe-1-chu-tu-moi-lan-banh-t32022-aidxc23349163
Mitsubishi Xpander AT Premium 2024,500.000.000 VND,19/09/2025,20,Xăng,MPV,Xe cũ,20.000 km,Số tự động,Nhập khẩu,Thanh Xuân - Hà Nội,https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-ha-noi/premium-2024-aidxc23368077
